,set,qs,Yxs,qs_max,Ks,Ki,m_s,lag,rmse
13,4,1,0.42876761330682944,0.8343147946945683,13.609692847169985,2.2049488119375646,0.15560195314425115,0.1960059109132827,45.142
110,36,2,0.3228769460627121,1.1423077380218758,7.906917763072083,17.383159924551165,0.042859820734898774,0.016244382545225377,45.388
292,97,1,0.3587694404613407,1.04962877706112,17.114501551588003,19.181767736268668,0.028571271218456443,0.18070542673221113,46.044
291,97,0,0.3587694404613407,1.04962877706112,17.114501551588003,19.181767736268668,0.028571271218456443,0.18070542673221113,46.409
28,9,1,0.312112172579629,1.287403259033736,18.07313743573975,12.010114813806391,0.13096903359031517,0.1622485985241463,46.82
27,9,0,0.312112172579629,1.287403259033736,18.07313743573975,12.010114813806391,0.13096903359031517,0.1622485985241463,47.116
248,82,2,0.4959840134777912,1.4716288695997515,2.3010910639019544,1.465838874924961,0.16434404075652942,0.04714168255879671,47.314
12,4,0,0.42876761330682944,0.8343147946945683,13.609692847169985,2.2049488119375646,0.15560195314425115,0.1960059109132827,47.557
118,39,1,0.33846438126303446,0.9838280389332514,10.624698043762915,8.728960571408205,0.11488799405865412,0.5415501300478774,47.691
37,12,1,0.3024241890596699,1.4045632619546369,17.878080052565867,8.10816093815578,0.06289073827599677,0.6065931478764187,48.138
117,39,0,0.33846438126303446,0.9838280389332514,10.624698043762915,8.728960571408205,0.11488799405865412,0.5415501300478774,48.144
36,12,0,0.3024241890596699,1.4045632619546369,17.878080052565867,8.10816093815578,0.06289073827599677,0.6065931478764187,48.495
82,27,1,0.4169685215835065,0.8019228860624071,9.732366418617133,11.267903213089234,0.19543831640041393,0.08768146802101615,48.765
22,7,1,0.3179823653772718,1.3819279260591992,17.25037555515225,15.860576651856771,0.1533179622205752,0.3267686763188626,48.897
217,72,1,0.4474604525238846,0.643130481282511,6.714314684882055,16.918279182812686,0.021917269126846925,0.8007694736790857,48.996
81,27,0,0.4169685215835065,0.8019228860624071,9.732366418617133,11.267903213089234,0.19543831640041393,0.08768146802101615,49.01
21,7,0,0.3179823653772718,1.3819279260591992,17.25037555515225,15.860576651856771,0.1533179622205752,0.3267686763188626,49.019
76,25,1,0.3839342900991851,1.0905600119933234,15.643321955275589,10.223227936195554,0.17404888049386597,0.31959454212477106,49.234
262,87,1,0.34318378050204024,1.1084408757866575,11.890060659829786,5.023050294009481,0.14336231564001647,0.10578176247720829,49.313
75,25,0,0.3839342900991851,1.0905600119933234,15.643321955275589,10.223227936195554,0.17404888049386597,0.31959454212477106,49.423
184,61,1,0.4640523306892915,1.0169960981617874,19.349694873901075,2.75692904880822,0.19183118957112683,0.6719021662654111,49.518
216,72,0,0.4474604525238846,0.643130481282511,6.714314684882055,16.918279182812686,0.021917269126846925,0.8007694736790857,49.549
261,87,0,0.34318378050204024,1.1084408757866575,11.890060659829786,5.023050294009481,0.14336231564001647,0.10578176247720829,49.709
